55097	2	1765	1	2	5	1	1	-1	
55097	2	1809	1	2	1	1	-1	-1	
55097	2	1931	1	1	3	-1	-1	-1	
55097	2	1959	1	2	4	6	1	-1	
55097	2	2804	4	-1	-1	-1	-1	-1	
55095	2	1077	1	4	-1	-1	-1	-1	
55095	2	1078	1	2	-1	-1	-1	-1	
55095	2	1135	1	4	4	3	5	-1	
55095	2	1207	3	12	12	10	12	-1	
55095	2	1335	1	-1	-1	-1	-1	-1	
55095	2	1513	1	3	1	2	-1	-1	
55095	2	1605	5	16	16	16	16	15	
55095	2	1765	3	13	14	2	2	-1	
55095	2	1805	3	13	9	2	-1	-1	
55095	2	2801	2	-1	-1	-1	-1	-1	
51653	2	1215	2	9	6	8	9	-1	
51653	2	1368	1	2	1	1	2	2	
51653	2	1412	3	1	1	1	-1	-1	
51653	2	1523	1	1	2	1	-1	-1	
51653	2	1615	3	8	8	9	8	9	
51653	2	1783	3	7	7	8	8	7	
51653	2	1834	1	6	1	4	1	-1	
51653	2	1915	2	10	2	-1	-1	-1	
51653	2	2810	1	-1	-1	-1	-1	-1	
53859	2	1077	1	1	-1	-1	-1	-1	
53859	2	1207	7	23	23	22	23	-1	
53859	2	1355	1	2	2	4	1	2	
53859	2	1523	2	4	4	4	-1	-1	
53859	2	1605	1	4	3	4	5	5	
53859	2	1765	3	12	13	2	2	-1	
53859	2	1805	2	9	7	2	-1	-1	
53859	2	1936	1	2	1	-1	-1	-1	
53859	2	2803	1	-1	-1	-1	-1	-1	
46923	2	1057	1	1	-1	-1	-1	-1	
46923	2	1061	1	1	-1	-1	-1	-1	
46923	2	1088	1	4	2	-1	-1	-1	
46923	2	1135	3	12	13	13	12	-1	
46923	2	1219	1	1	1	1	1	-1	
46923	2	1358	1	4	2	3	2	3	
46923	2	1609	1	2	3	1	1	1	
46923	2	1834	2	9	7	6	1	-1	
46923	2	1919	5	20	1	-1	-1	-1	
46923	2	2810	4	-1	-1	-1	-1	-1	
51257	2	1207	1	2	1	2	2	-1	
51257	2	1265	1	2	1	1	1	-1	
51257	2	1317	1	1	3	3	1	3	
51257	2	1605	4	13	13	14	12	13	
51257	2	1765	2	11	10	1	1	-1	
51257	2	1809	1	3	1	1	-1	-1	
51257	2	1906	1	1	1	-1	-1	-1	
51257	2	1936	1	3	1	-1	-1	-1	
51257	2	2808	1	-1	-1	-1	-1	-1	
63054	2	1261	1	3	2	1	-1	-1	
63054	2	1315	1	1	1	2	2	2	
63054	2	1609	2	4	4	4	5	1	
63054	2	1637	6	14	14	14	14	14	
63054	2	1782	2	8	6	8	5	6	
63054	2	1849	2	8	6	6	9	8	
63054	2	1867	1	4	4	2	-1	-1	
63054	2	1925	1	1	1	1	1	-1	
63054	2	2811	1	-1	-1	-1	-1	-1	
