2801	51167	1089	101
2801	51167	1282	103
2801	51167	1670	101
2801	51167	1869	107
2801	51167	1870	101
2801	51167	1948	103
2801	51167	2818	101
2801	45153	1261	101
2801	45153	1293	101
2801	45153	1359	102
2801	45153	1535	101
2801	45153	1670	101
2801	45153	1690	101
2801	45153	1869	104
2801	45153	1920	103
2801	44529	1239	104
2801	44529	1256	101
2801	44529	1270	101
2801	44529	1350	101
2801	44529	1660	101
2801	44529	1899	101
2801	44529	1947	101
2801	51927	1235	101
2801	51927	1126	105
2801	51927	1648	102
2801	51927	1867	101
2801	51927	1938	101
2801	51927	1947	103
2801	51927	2818	105
2801	50914	1059	101
2801	50914	1061	101
2801	50914	1105	101
2801	50914	1219	103
2801	50914	1358	101
2801	50914	1629	101
2801	50914	1860	102
2801	50914	1959	103
2801	50914	2810	101
2801	47778	1239	102
2801	47778	1649	103
2801	47778	1834	105
2801	47778	1867	102
2801	47778	1947	105
