Student Number	Course Number
13347	2802
13360	1012
13360	1031
13360	1135
13360	1209
13360	1337
13360	1605
13360	1783
13360	1805
13360	2806
13370	1125
13370	1225
13370	1359
13370	1669
13370	1869
13370	1925
13370	1936
13370	1784A
13371	1135
13371	1209
13371	1357
13371	1503
13371	1629
13371	1783
13371	1809
13371	1906
13371	2808
13372	1031
13372	1051
13372	1057
13372	1135
13372	1209
13372	1357
13372	1609
13372	1783
13372	1809
13372	2802
13373	1261
13373	1269
13373	1359
13373	1629
13373	1755
13373	1787
13373	1860
13373	1920
13378	1219
13378	1259
13378	1358
13378	1650
13378	1782
13378	1845
13378	1860
13378	1919
13396	1061
13396	1215
13396	1358
13396	1805
13396	1816
13396	1845
13396	1919
13417	1061
13417	1783
13417	1834
13417	1906
13417	2920
13417	2945
13417	2946
13417	2947
13417	2950
13419	1031
13419	1207
13419	1337
13419	1435
13419	1605
13419	1765
13419	1805
13419	1906
13419	2802
13420	1055
13420	1056
13420	1225
13420	1358
13420	1427
13420	1755
13420	1834
13420	1925
13436	1012
13436	1105
13436	1215
13436	1358
13436	1615
13436	1783
13436	1845
13436	1915
13466	1035
13466	1105
13466	1225
13466	1649
13466	1849
13466	1925
13466	1938
13471	1215
13471	1357
13471	1524
13471	1584
13471	1615
13471	1845
13471	1915
13476	1209
13476	1357
13476	1503
13476	1523
13476	1609
13476	1765
13476	1809
13476	1906
13476	2802
13485	1012
13485	1135
13485	1207
13485	1355
13485	1503
13485	1513
13485	1609
13485	1783
13485	1805
13485	2802
13494	1051
13494	1057
13494	1135
13494	1209
13494	1357
13494	1435
13494	1609
13494	1772
13494	1809
13494	2801
13495	1215
13495	1368
13495	1584
13495	1609
13495	1766
13495	1834
13495	1915
13495	1784A
13497	1119
13497	1126
13497	1159
13497	1239
13497	1339
13497	1648
13497	1867
13497	1936
13497	2818
13498	1125
13498	1159
13498	1225
13498	1359
13498	1650
13498	1865
13498	1869
13498	1920
13499	1087
13499	1209
13499	1355
13499	1412
13499	1609
13499	1782
13499	1805
13499	1931
13499	2804
13499	4135
13502	1215
13502	1357
13502	1508
13502	1615
13502	1805
13502	1845
13502	1915
13508	1059
13508	1065
13508	1126
13508	1250
13508	1359
13508	1649
13508	1867
13508	1947
13508	2818
13509	1032
13509	1061
13509	1105
13509	1219
13509	1357
13509	1615
13509	1783
13509	1845
13509	1915
13518	1261
13518	1285
13518	1359
13518	1508
13518	1637
13518	1845
13518	1925
13518	1784A
13522	1105
13522	1215
13522	1358
13522	1615
13522	1766
13522	1783
13522	1845
13522	1915
13529	1056
13529	1061
13529	1105
13529	1215
13529	1357
13529	1615
13529	1845
13529	1915
13532	1105
13532	1225
13532	1369
13532	1637
