StudentID	Student_Number	CourseNumber	YearID
72979	54175	2912	3500
72979	54175	2912F	3500
64024	50809	2912F	3500
64024	50809	2912Tu	3500
124077	63604	2912F	3500
124077	63604	2912Th	3500
130240	64453	2912W	3500
130240	64453	2912Tu	3500
61014	49785	2912F	3500
61014	49785	2912Tu	3500
70614	53435	2912Tu	3500
70614	53435	2912	3500
103334	59265	2912F	3500
103334	59265	2912W	3500
84880	57160	2912Tu	3500
84880	57160	2912F	3500
121730	47386	1012A	3500
85209	57274	2912Tu	3500
115125	61979	1442A	3500
108477	60785	1765A	3500
108477	60785	1434	3500
90623	57730	2811L	3500
90623	57730	2912	3500
90623	57730	2912W	3500
85977	57460	1135A	3500
85237	57290	2912Th	3500
85237	57290	2912	3500
116746	62313	2912W	3500
116746	62313	2912Th	3500
31740	702119	2912F	3500
129756	64086	1051A	3500
129177	63928	2818M	3500
58719	48759	1126A	3500
58719	48759	2912W	3500
58719	48759	1787A	3500
58719	48759	2912Th	3500
74413	55695	1012A	3500
74413	55695	2912Th	3500
74413	55695	2912Tu	3500
74413	55695	1959A	3500
80340	61089	1238A	3500
80340	61089	2912W	3500
80340	61089	2912Th	3500
80340	61089	2912	3500
129734	64062	2804	3500
129734	64062	2912Tu	3500
129734	64062	2912Th	3500
93431	58071	2818H	3500
93431	58071	2912Th	3500
85473	57346	2912F	3500
85473	57346	1427	3500
85473	57346	1433	3500
85473	57346	2912Th	3500
72976	54172	2912Th	3500
136808	65430	1434	3500
136808	65430	2912Th	3500
123136	63389	1799	3500
123136	63389	1105A	3500
123136	63389	1254A	3500
123136	63389	2912Tu	3500
75086	56332	2912F	3500
75086	56332	2912	3500
75086	56332	2912Th	3500
67670	51850	1915	3500
67670	51850	2912Th	3500
67670	51850	1105A	3500
67670	51850	2912W	3500
74352	55648	2912Tu	3500
117183	62603	2912Tu	3500
117183	62603	2912	3500
117183	62603	2912Th	3500
117184	62604	2811L	3500
97276	58635	2811D	3500
116473	62151	2912F	3500
107086	59936	1784A	3500
107086	59936	2912W	3500
107086	59936	1238A	3500
107086	59936	2912F	3500
106824	59791	1245	3500
106824	59791	2912Tu	3500
55082	47213	1126A	3500
55082	47213	2912F	3500
55082	47213	2912W	3500
55082	47213	2912	3500
123623	63497	2818H	3500
123623	63497	2912F	3500
123623	63497	2912W	3500
123623	63497	2912Th	3500
85242	57295	1012A	3500
85242	57295	2912	3500
73735	55338	2912F	3500
73735	55338	1088A	3500
67784	51921	2811M	3500
67784	51921	2912Th	3500
67784	51921	2912F	3500
73085	54637	1839	3500
73085	54637	2912Th	3500
75542	56465	2912Tu	3500
112770	61755	1125A	3500
112770	61755	1413A	3500
129080	63913	2811A	3500
129080	63913	2912Tu	3500
129080	63913	1125A	3500
129080	63913	2912F	3500
73699	55319	1725A	3500
73107	54659	2912Th	3500
73107	54659	2912Tu	3500
72997	54492	2912W	3500
72997	54492	2912Th	3500
72999	54506	2811M	3500
111797	61222	2912F	3500
111797	61222	2912W	3500
111797	61222	2912Tu	3500
73053	54605	2912	3500
73053	54605	2912W	3500
73087	54639	1012A	3500
71825	54375	2912F	3500
71825	54375	2912W	3500
96598	58504	2912F	3500
72541	54524	2912	3500
74373	55655	1017	3500
74373	55655	2912W	3500
135348	64970	1459	3500
135348	64970	2912F	3500
84890	57171	2912F	3500
73302	55027	2912Th	3500
81175	56947	1422A	3500
81175	56947	1906A	3500
103478	59378	2912Th	3500
103478	59378	2912	3500
103478	59378	1907A	3500
109873	60910	2912W	3500
130410	64583	1442A	3500
73375	55076	1845A	3500
73375	55076	2912W	3500
73375	55076	2912Th	3500
73117	54669	2912Tu	3500
80326	61075	1449	3500
80326	61075	1077	3500
80326	61075	2912W	3500
80326	61075	2912	3500
129760	64090	2912F	3500
129760	64090	2912Tu	3500
129760	64090	1135A	3500
85055	57211	2807	3500
85055	57211	2912Th	3500
85055	57211	2912	3500
